x,y,result,xg,assisting_player,big_chance,season,season,league,league,player
80.7,51.0,1,0.08814781159162521,kylian mbappe,False,2022,2022,championsleague,ChampionsLeague,lionel messi
95.4,63.7,0,0.27427783608436584,kylian mbappe,True,2022,2022,championsleague,ChampionsLeague,lionel messi
81.0,47.5,0,0.10117694735527039,0,False,2022,2022,championsleague,ChampionsLeague,lionel messi
77.6,61.0,0,0.03840195760130882,marco verratti,False,2022,2022,ligue1,Ligue1,lionel messi
89.3,40.5,0,0.036669034510850906,juan bernat,False,2022,2022,ligue1,Ligue1,lionel messi
71.0,48.8,1,0.011449787765741348,sergio ramos,False,2022,2022,ligue1,Ligue1,lionel messi
89.6,64.9,0,0.1050049439072609,kylian mbappe,False,2022,2022,championsleague,ChampionsLeague,lionel messi
78.9,47.9,0,0.09914440661668777,kylian mbappe,False,2022,2022,championsleague,ChampionsLeague,lionel messi
81.8,54.5,0,0.0759958028793335,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
81.7,34.6,0,0.1867564171552658,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
84.7,44.3,0,0.08808775991201401,0,False,2022,2022,worldcup,WorldCup,lionel messi
73.8,42.8,0,0.0948038101196289,0,False,2022,2022,worldcup,WorldCup,lionel messi
92.6,62.3,0,0.037061434239149094,angel di maria,False,2022,2022,worldcup,WorldCup,lionel messi
76.6,46.9,0,0.09642715752124786,0,False,2022,2022,worldcup,WorldCup,lionel messi
75.9,51.6,1,0.06942355632781982,angel di maria,False,2022,2022,worldcup,WorldCup,lionel messi
80.2,53.1,0,0.0883597880601883,0,False,2022,2022,worldcup,WorldCup,lionel messi
93.5,70.3,0,0.07802899181842804,angel di maria,False,2022,2022,worldcup,WorldCup,lionel messi
89.5,65.5,0,0.09571541845798492,alexis mac allister,False,2022,2022,worldcup,WorldCup,lionel messi
87.7,37.1,0,0.09371626377105713,angel di maria,False,2022,2022,worldcup,WorldCup,lionel messi
89.4,69.3,0,0.057787343859672546,0,False,2022,2022,worldcup,WorldCup,lionel messi
88.6,56.5,0,0.07890418916940689,enzo fernandez,False,2022,2022,worldcup,WorldCup,lionel messi
86.1,38.5,1,0.07014673203229904,nicolas otamendi,False,2022,2022,worldcup,WorldCup,lionel messi
81.2,54.8,0,0.061169713735580444,alexis mac allister,False,2022,2022,worldcup,WorldCup,lionel messi
76.4,55.9,0,0.06785348057746887,rodrigo de paul,False,2022,2022,worldcup,WorldCup,lionel messi
87.2,31.3,0,0.08352518081665039,rodrigo de paul,False,2022,2022,worldcup,WorldCup,lionel messi
84.6,50.8,0,0.06714692711830139,exequiel palacios,False,2022,2022,worldcup,WorldCup,lionel messi
89.3,52.1,0,0.0847153440117836,0,False,2022,2022,worldcup,WorldCup,lionel messi
75.1,30.7,0,0.03744053468108177,rodrigo de paul,False,2022,2022,worldcup,WorldCup,lionel messi
85.6,58.4,0,0.09528792649507523,julian alvarez,False,2022,2022,worldcup,WorldCup,lionel messi
77.1,56.7,0,0.10317550599575043,0,False,2022,2022,worldcup,WorldCup,lionel messi
81.0,29.3,0,0.020499538630247116,leandro paredes,False,2022,2022,worldcup,WorldCup,lionel messi
76.1,49.8,0,0.028618821874260902,enzo fernandez,False,2022,2022,worldcup,WorldCup,lionel messi
92.5,65.5,0,0.2782483696937561,enzo fernandez,True,2022,2022,worldcup,WorldCup,lionel messi
89.0,44.4,0,0.08998163044452667,0,False,2022,2022,worldcup,WorldCup,lionel messi
75.8,46.4,0,0.05034271255135536,rodrigo de paul,False,2022,2022,worldcup,WorldCup,lionel messi
84.6,35.5,0,0.08849643170833588,gonzalo montiel,False,2022,2022,worldcup,WorldCup,lionel messi
96.9,48.2,1,0.7856728434562683,0,True,2022,2022,worldcup,WorldCup,lionel messi
79.5,62.3,0,0.08619995415210724,0,False,2022,2022,ligue1,Ligue1,lionel messi
91.3,43.1,1,0.5289753079414368,nordi mukiele,True,2022,2022,ligue1,Ligue1,lionel messi
81.2,53.9,0,0.07478107511997223,juan bernat,False,2022,2022,ligue1,Ligue1,lionel messi
80.2,35.6,0,0.059885572642087936,neymar,False,2022,2022,ligue1,Ligue1,lionel messi
86.5,55.3,0,0.10712800920009613,juan bernat,False,2022,2022,ligue1,Ligue1,lionel messi
